coin,Brain,human_readable_time,timeframe,win_rate_percentage_per_day,number_of_trades_per_day,average_percentage_per_trade,cumulative_percentage_per_day,win_rate_percentage_per_year_or_two_or_three
XMR,bbrsi,2021-05-26 08:00:00,5m,,4,1.41,5.62,
XMR,bbrsi,2021-05-27 08:00:00,5m,71.4,7,-0.17,-1.19,
XMR,bbrsi,2021-05-28 08:00:00,5m,66.7,3,0.47,1.42,
XMR,bbrsi,2021-05-29 08:00:00,5m,50.0,4,-0.89,-3.55,
XMR,bbrsi,2021-05-30 08:00:00,5m,75.0,4,0.28,1.12,
XMR,bbrsi,2021-05-31 08:00:00,5m,,3,0.42,1.27,
XMR,bbrsi,2021-06-01 08:00:00,5m,,3,1.17,3.51,
XMR,bbrsi,2021-06-02 08:00:00,5m,,4,1.06,4.23,
XMR,bbrsi,2021-06-03 08:00:00,5m,66.7,3,-0.13,-0.40,
XMR,bbrsi,2021-06-04 08:00:00,5m,60.0,5,0.12,0.62,
XMR,bbrsi,2021-06-05 08:00:00,5m,50.0,4,-1.58,-6.31,
XMR,bbrsi,2021-06-06 08:00:00,5m,,4,0.58,2.32,
XMR,bbrsi,2021-06-07 08:00:00,5m,33.3,3,-2.26,-6.79,
XMR,bbrsi,2021-06-08 08:00:00,5m,60.0,5,-0.06,-0.28,
XMR,bbrsi,2021-06-09 08:00:00,5m,50.0,2,-0.04,-0.08,
XMR,bbrsi,2021-06-10 08:00:00,5m,50.0,2,-1.77,-3.53,
XMR,bbrsi,2021-06-11 08:00:00,5m,75.0,4,-0.30,-1.19,
XMR,bbrsi,2021-06-12 08:00:00,5m,50.0,2,-1.77,-3.54,
XMR,bbrsi,2021-06-13 08:00:00,5m,,2,0.54,1.09,
XMR,bbrsi,2021-06-14 08:00:00,5m,,2,0.89,1.78,
XMR,bbrsi,2021-06-15 08:00:00,5m,,3,0.41,1.22,
XMR,bbrsi,2021-06-16 08:00:00,5m,50.0,2,-1.79,-3.58,
XMR,bbrsi,2021-06-17 08:00:00,5m,,3,0.40,1.19,
XMR,bbrsi,2021-06-18 08:00:00,5m,,3,0.95,2.85,
XMR,bbrsi,2021-06-19 08:00:00,5m,,2,1.15,2.29,
XMR,bbrsi,2021-06-20 08:00:00,5m,33.3,3,-2.21,-6.62,
XMR,bbrsi,2021-06-21 08:00:00,5m,25.0,4,-0.85,-3.39,
XMR,bbrsi,2021-06-22 08:00:00,5m,50.0,4,-0.67,-2.70,
XMR,bbrsi,2021-06-23 08:00:00,5m,50.0,2,-1.61,-3.23,
XMR,bbrsi,2021-06-24 08:00:00,5m,,3,0.97,2.92,
XMR,bbrsi,2021-06-25 08:00:00,5m,,4,0.49,1.97,
XMR,bbrsi,2021-06-26 08:00:00,5m,50.0,2,-1.35,-2.69,
XMR,bbrsi,2021-06-27 08:00:00,5m,,4,0.83,3.33,
XMR,bbrsi,2021-06-28 08:00:00,5m,,0,0.00,0.00,
XMR,bbrsi,2021-06-29 08:00:00,5m,,4,1.04,4.16,
XMR,bbrsi,2021-06-30 08:00:00,5m,66.7,3,-0.48,-1.43,
XMR,bbrsi,2021-07-01 08:00:00,5m,,2,0.64,1.28,
XMR,bbrsi,2021-07-02 08:00:00,5m,,3,0.69,2.08,
XMR,bbrsi,2021-07-03 08:00:00,5m,,3,0.37,1.10,
XMR,bbrsi,2021-07-04 08:00:00,5m,50.0,4,-0.74,-2.97,
XMR,bbrsi,2021-07-05 08:00:00,5m,,2,0.79,1.59,
XMR,bbrsi,2021-07-06 08:00:00,5m,,1,0.63,0.63,
XMR,bbrsi,2021-07-07 08:00:00,5m,50.0,4,-1.20,-4.81,
XMR,bbrsi,2021-07-08 08:00:00,5m,,3,0.48,1.43,
XMR,bbrsi,2021-07-09 08:00:00,5m,,2,0.62,1.24,
XMR,bbrsi,2021-07-10 08:00:00,5m,80.0,5,0.28,1.39,
XMR,bbrsi,2021-07-11 08:00:00,5m,,2,0.22,0.44,
XMR,bbrsi,2021-07-12 08:00:00,5m,50.0,2,-1.43,-2.87,
XMR,bbrsi,2021-07-13 08:00:00,5m,,1,-3.69,-3.69,
XMR,bbrsi,2021-07-14 08:00:00,5m,75.0,4,0.12,0.50,
