coin,Brain,human_readable_time,timeframe,win_rate_percentage_per_day,number_of_trades_per_day,average_percentage_per_trade,cumulative_percentage_per_day,win_rate_percentage_per_year_or_two_or_three
LTC,bbrsi,2022-02-22 13:30:00,5m,,3,0.56,1.67,
LTC,bbrsi,2022-02-23 13:30:00,5m,60.0,5,-0.89,-4.47,
LTC,bbrsi,2022-02-24 13:30:00,5m,,1,0.09,0.09,
LTC,bbrsi,2022-02-25 13:30:00,5m,,4,0.67,2.67,
LTC,bbrsi,2022-02-26 13:30:00,5m,,2,0.08,0.15,
LTC,bbrsi,2022-02-27 13:30:00,5m,80.0,5,-0.02,-0.08,
LTC,bbrsi,2022-02-28 13:30:00,5m,,2,0.67,1.33,
LTC,bbrsi,2022-03-01 13:30:00,5m,,2,0.47,0.94,
LTC,bbrsi,2022-03-02 13:30:00,5m,,5,0.52,2.62,
LTC,bbrsi,2022-03-03 13:30:00,5m,,2,0.85,1.71,
LTC,bbrsi,2022-03-04 13:30:00,5m,33.3,3,-2.40,-7.19,
LTC,bbrsi,2022-03-05 13:30:00,5m,50.0,2,-1.20,-2.40,
LTC,bbrsi,2022-03-06 13:30:00,5m,50.0,2,0.24,0.48,
LTC,bbrsi,2022-03-07 13:30:00,5m,,3,0.66,1.98,
LTC,bbrsi,2022-03-08 13:30:00,5m,,3,0.12,0.37,
LTC,bbrsi,2022-03-09 13:30:00,5m,50.0,2,-1.55,-3.10,
LTC,bbrsi,2022-03-10 13:30:00,5m,,3,0.38,1.15,
LTC,bbrsi,2022-03-11 13:30:00,5m,50.0,2,-0.48,-0.95,
LTC,bbrsi,2022-03-12 13:30:00,5m,50.0,2,-0.52,-1.05,
LTC,bbrsi,2022-03-13 13:30:00,5m,50.0,2,-0.10,-0.21,
LTC,bbrsi,2022-03-14 13:30:00,5m,50.0,2,0.19,0.37,
LTC,bbrsi,2022-03-15 13:30:00,5m,,2,0.22,0.44,
LTC,bbrsi,2022-03-16 13:30:00,5m,,3,0.29,0.87,
LTC,bbrsi,2022-03-17 13:30:00,5m,,1,-1.56,-1.56,
LTC,bbrsi,2022-03-18 13:30:00,5m,,2,0.29,0.58,
LTC,bbrsi,2022-03-19 13:30:00,5m,66.7,3,-0.56,-1.69,
LTC,bbrsi,2022-03-20 13:30:00,5m,,4,0.66,2.65,
LTC,bbrsi,2022-03-21 13:30:00,5m,,0,0.00,0.00,
LTC,bbrsi,2022-03-22 13:30:00,5m,50.0,2,-0.82,-1.63,
LTC,bbrsi,2022-03-23 13:30:00,5m,66.7,3,-0.12,-0.35,
LTC,bbrsi,2022-03-24 13:30:00,5m,,3,0.22,0.67,
LTC,bbrsi,2022-03-25 13:30:00,5m,,1,0.04,0.04,
LTC,bbrsi,2022-03-26 13:30:00,5m,80.0,5,0.05,0.23,
LTC,bbrsi,2022-03-27 14:30:00,5m,,3,0.69,2.07,
LTC,bbrsi,2022-03-28 14:30:00,5m,,4,0.22,0.89,
LTC,bbrsi,2022-03-29 14:30:00,5m,,3,0.60,1.80,
